"Customer Login Required","Kunden-Login erforderlich"
"Require Customer Login","Kunden-Login erforderlich"
"Grant visitors access for routes","Zugangssperrung für Routen deaktivieren"
"Grant visitors access for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line. Per default, customer_account is always enabled. Please note that Varnish Caching will automatically be disabled for all other routes that aren't whitelisted by URL.","Ungehinderten Zugang für bestimmte Routen/Controller-Actions (z.B. checkout, catalog_product_view) erlauben. Ein Ausdruck pro Zeile. Standardmäßig ist die Route customer_account immer frei zugänglich. Hinweis: Für alle anderen Routen, die nicht via URL ""gewhitelisted"" werden, wird VarnishCache automatisch deaktiviert."
"Grant visitors access for URLs","Zugangssperrung für URLs deaktivieren"
"Grant visitors access for certain URLs (e.g. checkout/cart). Use one per line. Please note that Varnish Caching will automatically be disabled for all other URLs that aren't whitelisted by route.","Ungehinderten Zugang für bestimmte URLs (z.B. checkout/cart) erlauben. Ein Ausdruck pro Zeile. Hinweis: Für alle anderen URLs, die nicht via Routen/Controller-Actions ""gewhitelisted"" werden, wird VarnishCache automatisch deaktiviert."
"Redirect to default login page","Zur Standard-Loginseite umleiten"
"Redirect visitors to default login page (if not logged in). If you select ""No"", login will be requested via Pseudo-PopUp when necessary.","Besucher zur Standard-Loginseite weiterleiten, wenn sie nicht angemeldet sind. Wenn Sie ""Nein"" auswählen, erfolgt die Abfrage der Login-Information via Pseudo-PopUp."
"Pseudo-PopUp Title","Pseudo-PopUp Titel"
"Pseudo-PopUp Info Top","Pseudo-PopUp Information (oberhalb der Eingabefelder)"
"Pseudo-PopUp Info Bottom","Pseudo-PopUp Information (unterhalb der Eingabefelder)"
"Disable default login page","Standard-Loginseite deaktivieren"
"Custom redirect URL","Weiterleitung zu eigener (Login-)Seite"
"If specified, visitors will be redirected to custom URL.","Hier können Sie den Pfad einer eigenen (Login-)Seite hinterlegen, zu welcher Besucher weitergeleitet werden, wenn sie nicht angemeldet sind."
